place_source;place_normalized;wiki_id
Rhodes;Rhodes;Q43048
Marmorisse;Marmaris;Q209908
Lac de Côme;Lake Como;Q15523
Iovada;Akyaka;Q424411
Cos;Gulf of Gökova;Q1238749
Moglah;Muğla;Q216912
Milassa;Milas;Q924252
Ekiissar;Eskihisar;Q6746347
Smyrne;İzmir;Q35997
Pyrénées;Pyrenees;Q12431
Forêt de Fontainebleau;Forest of Fontainebleau;Q1293678
Samos;Samos;Q156882
Karpouzelou;Karpuzlu;Q1734375
Haïdin;Aydın;Q170457
Gusel-Issar;Aydın;Q170457
Éphèse;Ephesus;Q47611
Iasoulouk (Éphèse);Ayasuluk Citadel;Q206257
Bretagne;Brittany;Q12130
Méandre;Great Menderes River;Q211089
Mont des Chèvres;Keçi Kalesi;Q131901836
Tyra;Tire;Q630533
Odemisch;Ödemiş;Q293927
Birké;Birgi;Q2220449
Suisse;Suisse;Q22036
Bosdall;Bozdağ;Q4952811
Salikli;Salihli;Q1012935
Sart (Sardes);Sart;Q6579571
Thèbes;Thebes;Q101583
Cordelio;Kordon;Q6013884
Cassaba;Turgutlu;Q17396881
Nymphio;Nymphaion;Q1693611
Boudja;Buca;Q2672826
Bournabah;Bornova;Q894012
Mont Pagus;Kadifekale;Q4810717
Dardanelles;Dardanelles;Q6514
Gallipoli;Gallipoli;Q192860
Ténédos;Bozcaada;Q211817
Lemnos;Lemnos;Q192483
Troade;Troad;Q2454671
Constantinople;Istanbul;Q406
Îles des Princes;Prince's Islands;Q1020668
Château des Sept-Tours;Yedikule Fortress;Q632795
Scutari;Üsküdar;Q326339
Bosphore;Bosporus Strait;Q35958
Nez-du-Sérail;Sarayburnu;Q1247633
Corne-d’Or;Golden Horn;Q179839
Stamboul;Constantinople;Q16869
Péra;Beyoğlu;Q217411
Kina tchaï;Çine Çayı;Q3577263
Erzeroum;Erzurum;Q122803
Hauran;Hauran;Q1589883
Beyrout;Beirut;Q3820
Damas;Damascus;Q3766
Venise;Venice;Q641
Cacoutjath;Altındağ;Q4737078
Hôtel des Deux-Augustes;Cumhuriyet Square;Q6034758
Cour des Bubastides;Karnak Temple Complex;Q522862
Quartier juif;Kemeraltı;Q6386921
